Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
G,0.844066986,490,echo direction,first
G,0.856708538,500,echo direction,first
G,0.867711205,510,echo direction,first
G,0.87898122,520,echo direction,first
G,0.889493036,530,echo direction,first
G,0.897351663,540,echo direction,first
G,0.904682835,550,echo direction,first
G,0.909894946,560,echo direction,first
G,0.914162937,570,echo direction,first
G,0.917474397,580,echo direction,first
G,0.919817966,590,echo direction,first
G,0.919659985,600,echo direction,first
G,0.6963647,-100,pulse direction,last
G,0.700407106,-90,pulse direction,last
G,0.717997104,-80,pulse direction,last
G,0.730862357,-70,pulse direction,last
G,0.739481106,-60,pulse direction,last
G,0.744379843,-50,pulse direction,last
G,0.746075893,-40,pulse direction,last
G,0.745040684,-30,pulse direction,last
G,0.699511321,-20,pulse direction,last
G,0.705918461,-10,pulse direction,last
G,0.685859014,0,pulse direction,last
G,0.674140922,10,pulse direction,last
G,0.679147222,20,pulse direction,last
G,0.679478755,30,pulse direction,last
G,0.675747652,40,pulse direction,last
G,0.668335662,50,pulse direction,last
G,0.657850955,60,pulse direction,last
G,0.644756448,70,pulse direction,last
G,0.629446309,80,pulse direction,last
G,0.612244256,90,pulse direction,last
G,0.593408278,100,pulse direction,last
G,0.573384295,110,pulse direction,last
G,0.551835383,120,pulse direction,last
G,0.529117283,130,pulse direction,last
G,0.505313033,140,pulse direction,last
G,0.480483179,150,pulse direction,last
G,0.454672424,160,pulse direction,last
G,0.427915275,170,pulse direction,last
G,0.400240786,180,pulse direction,last
G,0.37167653,190,pulse direction,last
G,0.366559693,200,pulse direction,last
G,0.337203412,210,pulse direction,last
G,0.306888342,220,pulse direction,last
G,0.27564556,230,pulse direction,last
G,0.243688366,240,pulse direction,last
G,0.210719783,250,pulse direction,last
G,0.176990845,260,pulse direction,last
G,0.142605974,270,pulse direction,last
G,0.134756884,280,pulse direction,last
G,0.100048992,290,pulse direction,last
G,0.064780665,300,pulse direction,last
G,0.075237749,310,pulse direction,last
G,0.039465926,320,pulse direction,last
G,0.003254358,330,pulse direction,last
G,-0.033406638,340,pulse direction,last
G,-0.070281898,350,pulse direction,last
G,-0.107204132,360,pulse direction,last
G,-0.143798451,370,pulse direction,last
G,-0.170526827,380,pulse direction,last
G,-0.206264509,390,pulse direction,last
G,-0.240759931,400,pulse direction,last
G,-0.275952904,410,pulse direction,last
G,-0.290913707,420,pulse direction,last
G,-0.32308931,430,pulse direction,last
G,-0.354279379,440,pulse direction,last
G,-0.384335089,450,pulse direction,last
G,-0.413118487,460,pulse direction,last
